n,scenario,run_id,method,noise_sigma,pearson_r,fdr,sca
3,Balanced,0,Equal,,0.000000,,0.918355
3,Balanced,0,Peer,8.0,0.999308,,0.992099
3,Balanced,0,Instructor,12.0,0.529366,,0.973753
3,Balanced,0,CATME,5.0,0.976055,,0.976858
3,Balanced,0,Shapley (clean),0.0,0.999834,,0.946892
3,Balanced,0,Shapley (noisy),4.0,-0.983549,,0.506723
3,Balanced,0,Shapley (noisy),8.0,0.945812,,0.748311
3,Balanced,0,Shapley (noisy),12.0,-0.191695,,0.748311
3,Balanced,0,Shapley (noisy),16.0,0.000000,,0.918355
3,Balanced,0,Shapley (noisy),20.0,0.000000,,0.918355
3,Balanced,1,Equal,,0.000000,,0.890774
3,Balanced,1,Peer,8.0,0.996448,,0.963805
3,Balanced,1,Instructor,12.0,0.993675,,0.954212
3,Balanced,1,CATME,5.0,0.985930,,0.992242
3,Balanced,1,Shapley (clean),0.0,0.997609,,0.944441
3,Balanced,1,Shapley (noisy),4.0,0.764969,,0.442559
3,Balanced,1,Shapley (noisy),8.0,-0.163452,,0.773580
3,Balanced,1,Shapley (noisy),12.0,-0.764969,,0.775892
3,Balanced,1,Shapley (noisy),16.0,0.000000,,0.890774
3,Balanced,1,Shapley (noisy),20.0,0.000000,,0.890774
3,Balanced,2,Equal,,0.000000,,0.909291
3,Balanced,2,Peer,8.0,0.925126,,0.974121
3,Balanced,2,Instructor,12.0,0.892893,,0.926786
3,Balanced,2,CATME,5.0,0.995074,,0.999673
3,Balanced,2,Shapley (clean),0.0,0.999705,,0.947572
3,Balanced,2,Shapley (noisy),4.0,0.101206,,0.424043
3,Balanced,2,Shapley (noisy),8.0,-0.912182,,0.424043
3,Balanced,2,Shapley (noisy),12.0,0.000000,,0.909291
3,Balanced,2,Shapley (noisy),16.0,0.810976,,0.424043
3,Balanced,2,Shapley (noisy),20.0,0.810976,,0.424043
3,Balanced,3,Equal,,0.000000,,0.880050
3,Balanced,3,Peer,8.0,0.999911,,0.981967
3,Balanced,3,Instructor,12.0,0.847773,,0.966719
3,Balanced,3,CATME,5.0,0.975658,,0.968707
3,Balanced,3,Shapley (clean),0.0,0.994775,,0.945789
3,Balanced,3,Shapley (noisy),4.0,0.000000,,0.880050
3,Balanced,3,Shapley (noisy),8.0,0.886395,,0.786617
3,Balanced,3,Shapley (noisy),12.0,-0.042289,,0.786617
3,Balanced,3,Shapley (noisy),16.0,0.886395,,0.786617
3,Balanced,3,Shapley (noisy),20.0,0.042289,,0.453283
3,Balanced,4,Equal,,0.000000,,0.850681
3,Balanced,4,Peer,8.0,0.957876,,0.969411
3,Balanced,4,Instructor,12.0,0.981569,,0.986422
3,Balanced,4,CATME,5.0,0.994464,,0.974137
3,Balanced,4,Shapley (clean),0.0,0.990424,,0.946080
3,Balanced,4,Shapley (noisy),4.0,0.000000,,0.850681
3,Balanced,4,Shapley (noisy),8.0,0.000000,,0.850681
3,Balanced,4,Shapley (noisy),12.0,0.789920,,0.815985
3,Balanced,4,Shapley (noisy),16.0,0.000000,,0.850681
3,Balanced,4,Shapley (noisy),20.0,0.000000,,0.850681
3,Balanced,5,Equal,,0.000000,,0.945283
3,Balanced,5,Peer,8.0,0.968678,,0.995800
3,Balanced,5,Instructor,12.0,0.993001,,0.988537
3,Balanced,5,CATME,5.0,0.959122,,0.990955
3,Balanced,5,Shapley (clean),0.0,0.996918,,0.957467
3,Balanced,5,Shapley (noisy),4.0,0.000000,,0.945283
3,Balanced,5,Shapley (noisy),8.0,-0.957501,,0.388050
3,Balanced,5,Shapley (noisy),12.0,0.957501,,0.721383
3,Balanced,5,Shapley (noisy),16.0,0.957501,,0.721383
3,Balanced,5,Shapley (noisy),20.0,-0.728538,,0.721383
3,Balanced,6,Equal,,0.000000,,0.961151
3,Balanced,6,Peer,8.0,0.342307,,0.977843
3,Balanced,6,Instructor,12.0,0.941929,,0.971119
3,Balanced,6,CATME,5.0,-0.403656,,0.966544
3,Balanced,6,Shapley (clean),0.0,0.998586,,0.957750
3,Balanced,6,Shapley (noisy),4.0,0.671792,,0.705516
3,Balanced,6,Shapley (noisy),8.0,0.305603,,0.705516
3,Balanced,6,Shapley (noisy),12.0,0.000000,,0.961151
3,Balanced,6,Shapley (noisy),16.0,0.305603,,0.705516
3,Balanced,6,Shapley (noisy),20.0,0.977395,,0.372183
3,Balanced,7,Equal,,0.000000,,0.984201
3,Balanced,7,Peer,8.0,0.958772,,0.937325
3,Balanced,7,Instructor,12.0,0.760591,,0.906352
3,Balanced,7,CATME,5.0,-0.477923,,0.996864
3,Balanced,7,Shapley (clean),0.0,0.999654,,0.989244
3,Balanced,7,Shapley (noisy),4.0,-0.556904,,0.884958
3,Balanced,7,Shapley (noisy),8.0,0.000000,,0.984201
3,Balanced,7,Shapley (noisy),12.0,-0.997753,,0.349133
3,Balanced,7,Shapley (noisy),16.0,-0.556904,,0.682466
3,Balanced,7,Shapley (noisy),20.0,0.000000,,0.984201
3,Balanced,8,Equal,,0.000000,,0.863793
3,Balanced,8,Peer,8.0,0.960727,,0.914718
3,Balanced,8,Instructor,12.0,0.994077,,0.978117
3,Balanced,8,CATME,5.0,0.978383,,0.974254
3,Balanced,8,Shapley (clean),0.0,0.991519,,0.945652
3,Balanced,8,Shapley (noisy),4.0,-0.842169,,0.469540
3,Balanced,8,Shapley (noisy),8.0,0.000000,,0.863793
3,Balanced,8,Shapley (noisy),12.0,-0.888057,,0.802873
3,Balanced,8,Shapley (noisy),16.0,0.045888,,0.802873
3,Balanced,8,Shapley (noisy),20.0,0.888057,,0.469540
3,Balanced,9,Equal,,0.000000,,0.813764
3,Balanced,9,Peer,8.0,0.991615,,0.948677
3,Balanced,9,Instructor,12.0,0.955042,,0.913286
3,Balanced,9,CATME,5.0,0.998239,,0.984843
3,Balanced,9,Shapley (clean),0.0,0.981507,,0.937227
3,Balanced,9,Shapley (noisy),4.0,0.814175,,0.852903
3,Balanced,9,Shapley (noisy),8.0,0.909919,,0.519569
3,Balanced,9,Shapley (noisy),12.0,0.814175,,0.852903
3,Balanced,9,Shapley (noisy),16.0,0.254976,,0.821463
3,Balanced,9,Shapley (noisy),20.0,0.000000,,0.813764
3,Balanced,10,Equal,,0.000000,,0.809942
3,Balanced,10,Peer,8.0,0.957504,,0.996165
3,Balanced,10,Instructor,12.0,0.876080,,0.949802
3,Balanced,10,CATME,5.0,0.994334,,0.951600
3,Balanced,10,Shapley (clean),0.0,0.978426,,0.933738
3,Balanced,10,Shapley (noisy),4.0,0.851385,,0.856725
3,Balanced,10,Shapley (noisy),8.0,0.879959,,0.523391
3,Balanced,10,Shapley (noisy),12.0,0.851385,,0.856725
3,Balanced,10,Shapley (noisy),16.0,-0.879959,,0.856725
3,Balanced,10,Shapley (noisy),20.0,0.028574,,0.856725
3,Balanced,11,Equal,,0.000000,,0.946076
3,Balanced,11,Peer,8.0,0.898541,,0.966138
3,Balanced,11,Instructor,12.0,0.650943,,0.937411
3,Balanced,11,CATME,5.0,0.850849,,0.990643
3,Balanced,11,Shapley (clean),0.0,0.998817,,0.962288
3,Balanced,11,Shapley (noisy),4.0,-0.366023,,0.720591
3,Balanced,11,Shapley (noisy),8.0,-0.622916,,0.720591
3,Balanced,11,Shapley (noisy),12.0,0.366023,,0.387257
3,Balanced,11,Shapley (noisy),16.0,-0.988940,,0.387257
3,Balanced,11,Shapley (noisy),20.0,-0.366023,,0.720591
3,Balanced,12,Equal,,0.000000,,0.872851
3,Balanced,12,Peer,8.0,0.997920,,0.979998
3,Balanced,12,Instructor,12.0,-0.648952,,0.886058
3,Balanced,12,CATME,5.0,0.979345,,0.965735
3,Balanced,12,Shapley (clean),0.0,0.993863,,0.941911
3,Balanced,12,Shapley (noisy),4.0,0.174449,,0.460482
3,Balanced,12,Shapley (noisy),8.0,0.939971,,0.793815
3,Balanced,12,Shapley (noisy),12.0,-0.765521,,0.793815
3,Balanced,12,Shapley (noisy),16.0,-0.939971,,0.460482
3,Balanced,12,Shapley (noisy),20.0,-0.939971,,0.460482
3,Balanced,13,Equal,,0.000000,,0.722908
3,Balanced,13,Peer,8.0,0.948921,,0.958151
3,Balanced,13,Instructor,12.0,0.946173,,0.943759
3,Balanced,13,CATME,5.0,0.946173,,0.953498
3,Balanced,13,Shapley (clean),0.0,0.957579,,0.936581
3,Balanced,13,Shapley (noisy),4.0,0.192787,,0.610425
3,Balanced,13,Shapley (noisy),8.0,0.192787,,0.610425
3,Balanced,13,Shapley (noisy),12.0,0.192787,,0.610425
3,Balanced,13,Shapley (noisy),16.0,-0.946173,,0.610425
3,Balanced,13,Shapley (noisy),20.0,0.000000,,0.722908
3,Balanced,14,Equal,,0.000000,,0.938036
3,Balanced,14,Peer,8.0,0.991635,,0.968661
3,Balanced,14,Instructor,12.0,0.410885,,0.986375
3,Balanced,14,CATME,5.0,0.923546,,0.979558
3,Balanced,14,Shapley (clean),0.0,0.999316,,0.951898
3,Balanced,14,Shapley (noisy),4.0,0.151887,,0.728631
3,Balanced,14,Shapley (noisy),8.0,-0.931921,,0.728631
3,Balanced,14,Shapley (noisy),12.0,0.000000,,0.938036
3,Balanced,14,Shapley (noisy),16.0,-0.151887,,0.395297
3,Balanced,14,Shapley (noisy),20.0,0.931921,,0.395297
3,Balanced,15,Equal,,0.000000,0.000000,0.943225
3,Balanced,15,Peer,8.0,-0.956973,0.500000,0.996641
3,Balanced,15,Instructor,12.0,-0.905452,0.500000,0.981544
3,Balanced,15,CATME,5.0,0.792939,0.000000,0.955450
3,Balanced,15,Shapley (clean),0.0,0.996074,0.000000,0.950157
3,Balanced,15,Shapley (noisy),4.0,0.870695,0.000000,0.723442
3,Balanced,15,Shapley (noisy),8.0,0.000000,0.000000,0.943225
3,Balanced,15,Shapley (noisy),12.0,0.000000,0.000000,0.943225
3,Balanced,15,Shapley (noisy),16.0,0.009416,0.000000,0.390109
3,Balanced,15,Shapley (noisy),20.0,0.870695,0.000000,0.723442
3,Balanced,16,Equal,,0.000000,,0.900587
3,Balanced,16,Peer,8.0,0.889605,,0.986876
3,Balanced,16,Instructor,12.0,0.991550,,0.916813
3,Balanced,16,CATME,5.0,0.935255,,0.999728
3,Balanced,16,Shapley (clean),0.0,0.999998,,0.940897
3,Balanced,16,Shapley (noisy),4.0,0.999979,,0.766080
3,Balanced,16,Shapley (noisy),8.0,-0.999979,,0.432747
3,Balanced,16,Shapley (noisy),12.0,-0.999979,,0.432747
3,Balanced,16,Shapley (noisy),16.0,-0.999979,,0.432747
3,Balanced,16,Shapley (noisy),20.0,-0.505568,,0.766080
3,Balanced,17,Equal,,0.000000,0.000000,0.674957
3,Balanced,17,Peer,8.0,0.991267,1.000000,0.971501
3,Balanced,17,Instructor,12.0,0.980540,1.000000,0.960967
3,Balanced,17,CATME,5.0,0.980540,1.000000,0.933627
3,Balanced,17,Shapley (clean),0.0,0.980540,1.000000,0.991709
3,Balanced,17,Shapley (noisy),4.0,0.320252,0.000000,0.658376
3,Balanced,17,Shapley (noisy),8.0,0.996223,1.000000,0.969422
3,Balanced,17,Shapley (noisy),12.0,-0.320252,0.000000,0.991709
3,Balanced,17,Shapley (noisy),16.0,-0.980540,0.000000,0.658376
3,Balanced,17,Shapley (noisy),20.0,0.660288,0.000000,0.658376
3,Balanced,18,Equal,,0.000000,,0.941085
3,Balanced,18,Peer,8.0,0.995064,,0.967992
3,Balanced,18,Instructor,12.0,0.988917,,0.980887
3,Balanced,18,CATME,5.0,0.985814,,0.974283
3,Balanced,18,Shapley (clean),0.0,0.999505,,0.961017
3,Balanced,18,Shapley (noisy),4.0,-0.577074,,0.725581
3,Balanced,18,Shapley (noisy),8.0,-0.577074,,0.725581
3,Balanced,18,Shapley (noisy),12.0,0.577074,,0.392248
3,Balanced,18,Shapley (noisy),16.0,0.577074,,0.392248
3,Balanced,18,Shapley (noisy),20.0,0.995813,,0.725581
3,Balanced,19,Equal,,0.000000,,0.863097
3,Balanced,19,Peer,8.0,0.942107,,0.998270
3,Balanced,19,Instructor,12.0,0.959841,,0.996858
3,Balanced,19,CATME,5.0,0.994435,,0.959833
3,Balanced,19,Shapley (clean),0.0,0.995161,,0.950657
3,Balanced,19,Shapley (noisy),4.0,-0.717488,,0.470236
3,Balanced,19,Shapley (noisy),8.0,-0.244504,,0.470236
3,Balanced,19,Shapley (noisy),12.0,-0.961992,,0.803570
3,Balanced,19,Shapley (noisy),16.0,-0.717488,,0.470236
3,Balanced,19,Shapley (noisy),20.0,0.717488,,0.813234
3,Balanced,20,Equal,,0.000000,,0.939399
3,Balanced,20,Peer,8.0,0.960252,,0.954878
3,Balanced,20,Instructor,12.0,0.992878,,0.967768
3,Balanced,20,CATME,5.0,0.997707,,0.981817
3,Balanced,20,Shapley (clean),0.0,0.996936,,0.949785
3,Balanced,20,Shapley (noisy),4.0,-0.040227,,0.766047
3,Balanced,20,Shapley (noisy),8.0,0.000000,,0.939399
3,Balanced,20,Shapley (noisy),12.0,0.845211,,0.393934
3,Balanced,20,Shapley (noisy),16.0,-0.845211,,0.727267
3,Balanced,20,Shapley (noisy),20.0,0.885438,,0.727267
3,Balanced,21,Equal,,0.000000,,0.880966
3,Balanced,21,Peer,8.0,0.971104,,0.983176
3,Balanced,21,Instructor,12.0,0.849603,,0.985275
3,Balanced,21,CATME,5.0,0.953620,,0.992379
3,Balanced,21,Shapley (clean),0.0,0.998286,,0.938033
3,Balanced,21,Shapley (noisy),4.0,0.399787,,0.452368
3,Balanced,21,Shapley (noisy),8.0,-0.993699,,0.452368
3,Balanced,21,Shapley (noisy),12.0,0.399787,,0.452368
3,Balanced,21,Shapley (noisy),16.0,-0.593913,,0.785701
3,Balanced,21,Shapley (noisy),20.0,0.000000,,0.880966
3,Balanced,22,Equal,,0.000000,,0.808413
3,Balanced,22,Peer,8.0,0.996446,,0.959811
3,Balanced,22,Instructor,12.0,0.985789,,0.879075
3,Balanced,22,CATME,5.0,0.988989,,0.981094
3,Balanced,22,Shapley (clean),0.0,0.988873,,0.941817
3,Balanced,22,Shapley (noisy),4.0,-0.924141,,0.951269
3,Balanced,22,Shapley (noisy),8.0,-0.964271,,0.858254
3,Balanced,22,Shapley (noisy),12.0,0.000000,,0.808413
3,Balanced,22,Shapley (noisy),16.0,0.000000,,0.808413
3,Balanced,22,Shapley (noisy),20.0,0.252710,,0.858254
3,Balanced,23,Equal,,0.000000,,0.815409
3,Balanced,23,Peer,8.0,0.987828,,0.989529
3,Balanced,23,Instructor,12.0,0.881270,,0.907070
3,Balanced,23,CATME,5.0,0.993943,,0.977050
3,Balanced,23,Shapley (clean),0.0,0.978783,,0.928968
3,Balanced,23,Shapley (noisy),4.0,0.444789,,0.716421
3,Balanced,23,Shapley (noisy),8.0,0.149645,,0.517924
3,Balanced,23,Shapley (noisy),12.0,-0.149645,,0.851257
3,Balanced,23,Shapley (noisy),16.0,0.000000,,0.815409
3,Balanced,23,Shapley (noisy),20.0,-0.149645,,0.851257
3,Balanced,24,Equal,,0.000000,,0.892682
3,Balanced,24,Peer,8.0,0.888672,,0.998969
3,Balanced,24,Instructor,12.0,0.999806,,0.940052
3,Balanced,24,CATME,5.0,0.999376,,0.969236
3,Balanced,24,Shapley (clean),0.0,0.999963,,0.937883
3,Balanced,24,Shapley (noisy),4.0,-0.492289,,0.773984
3,Balanced,24,Shapley (noisy),8.0,-0.492289,,0.773984
3,Balanced,24,Shapley (noisy),12.0,0.000000,,0.892682
3,Balanced,24,Shapley (noisy),16.0,0.492289,,0.440651
3,Balanced,24,Shapley (noisy),20.0,0.000000,,0.892682
3,Balanced,25,Equal,,0.000000,,0.781368
3,Balanced,25,Peer,8.0,0.996071,,0.986060
3,Balanced,25,Instructor,12.0,0.992007,,0.981107
3,Balanced,25,CATME,5.0,0.999857,,0.983434
3,Balanced,25,Shapley (clean),0.0,0.996071,,0.885299
3,Balanced,25,Shapley (noisy),4.0,0.080902,,0.776151
3,Balanced,25,Shapley (noisy),8.0,0.000000,,0.781368
3,Balanced,25,Shapley (noisy),12.0,-0.996071,,0.551965
3,Balanced,25,Shapley (noisy),16.0,-0.574733,,0.885299
3,Balanced,25,Shapley (noisy),20.0,0.000000,,0.781368
3,Balanced,26,Equal,,0.000000,,0.825281
3,Balanced,26,Peer,8.0,0.999608,,0.982211
3,Balanced,26,Instructor,12.0,0.980994,,0.998117
3,Balanced,26,CATME,5.0,0.999905,,0.952997
3,Balanced,26,Shapley (clean),0.0,0.989112,,0.922558
3,Balanced,26,Shapley (noisy),4.0,0.989112,,0.998585
3,Balanced,26,Shapley (noisy),8.0,0.367105,,0.508052
3,Balanced,26,Shapley (noisy),12.0,-0.367105,,0.841385
3,Balanced,26,Shapley (noisy),16.0,0.367105,,0.508052
3,Balanced,26,Shapley (noisy),20.0,0.622006,,0.508052
3,Balanced,27,Equal,,0.000000,,0.772048
3,Balanced,27,Peer,8.0,0.725574,,0.870558
3,Balanced,27,Instructor,12.0,0.859788,,0.915472
3,Balanced,27,CATME,5.0,0.922075,,0.901522
3,Balanced,27,Shapley (clean),0.0,0.999907,,0.943857
3,Balanced,27,Shapley (noisy),4.0,-0.514949,,0.561285
3,Balanced,27,Shapley (noisy),8.0,0.000000,,0.772048
3,Balanced,27,Shapley (noisy),12.0,0.000000,,0.772048
3,Balanced,27,Shapley (noisy),16.0,-0.514949,,0.561285
3,Balanced,27,Shapley (noisy),20.0,0.999850,,0.561285
3,Balanced,28,Equal,,0.000000,,0.880936
3,Balanced,28,Peer,8.0,0.818657,,0.969930
3,Balanced,28,Instructor,12.0,0.815140,,0.943706
3,Balanced,28,CATME,5.0,0.995421,,0.986807
3,Balanced,28,Shapley (clean),0.0,0.999067,,0.955629
3,Balanced,28,Shapley (noisy),4.0,0.000000,,0.880936
3,Balanced,28,Shapley (noisy),8.0,0.000000,,0.880936
3,Balanced,28,Shapley (noisy),12.0,-0.990900,,0.785731
3,Balanced,28,Shapley (noisy),16.0,-0.378886,,0.452398
3,Balanced,28,Shapley (noisy),20.0,-0.378886,,0.452398
3,Balanced,29,Equal,,0.000000,,0.845127
3,Balanced,29,Peer,8.0,0.997437,,0.947111
3,Balanced,29,Instructor,12.0,0.998942,,0.986006
3,Balanced,29,CATME,5.0,0.988025,,0.937009
3,Balanced,29,Shapley (clean),0.0,0.996338,,0.951371
3,Balanced,29,Shapley (noisy),4.0,0.000000,,0.845127
3,Balanced,29,Shapley (noisy),8.0,-0.650259,,0.488206
3,Balanced,29,Shapley (noisy),12.0,0.983060,,0.488206
3,Balanced,29,Shapley (noisy),16.0,0.000000,,0.845127
3,Balanced,29,Shapley (noisy),20.0,-0.332800,,0.488206
3,Balanced,30,Equal,,0.000000,,0.966160
3,Balanced,30,Peer,8.0,0.952494,,0.925604
3,Balanced,30,Instructor,12.0,-0.567584,,0.891908
3,Balanced,30,CATME,5.0,0.985472,,0.899572
3,Balanced,30,Shapley (clean),0.0,0.995394,,0.968969
3,Balanced,30,Shapley (noisy),4.0,-0.878267,,0.367173
3,Balanced,30,Shapley (noisy),8.0,-0.878267,,0.367173
3,Balanced,30,Shapley (noisy),12.0,0.000000,,0.966160
3,Balanced,30,Shapley (noisy),16.0,0.878267,,0.700507
3,Balanced,30,Shapley (noisy),20.0,-0.025026,,0.700507
3,Balanced,31,Equal,,0.000000,,0.930323
3,Balanced,31,Peer,8.0,0.711075,,0.944650
3,Balanced,31,Instructor,12.0,0.996720,,0.934830
3,Balanced,31,CATME,5.0,0.957717,,0.972875
3,Balanced,31,Shapley (clean),0.0,0.999556,,0.950434
3,Balanced,31,Shapley (noisy),4.0,0.000000,,0.930323
3,Balanced,31,Shapley (noisy),8.0,0.031808,,0.736343
3,Balanced,31,Shapley (noisy),12.0,0.849683,,0.736343
3,Balanced,31,Shapley (noisy),16.0,0.031808,,0.736343
3,Balanced,31,Shapley (noisy),20.0,-0.881491,,0.736343
3,Balanced,32,Equal,,0.000000,,0.936396
3,Balanced,32,Peer,8.0,0.979724,,0.999256
3,Balanced,32,Instructor,12.0,-0.794080,,0.984830
3,Balanced,32,CATME,5.0,0.970164,,0.968746
3,Balanced,32,Shapley (clean),0.0,1.000000,,0.956357
3,Balanced,32,Shapley (noisy),4.0,0.800065,,0.656445
3,Balanced,32,Shapley (noisy),8.0,-0.999297,,0.730271
3,Balanced,32,Shapley (noisy),12.0,-0.999297,,0.730271
3,Balanced,32,Shapley (noisy),16.0,-0.467176,,0.396938
3,Balanced,32,Shapley (noisy),20.0,0.000000,,0.936396
3,Balanced,33,Equal,,0.000000,,0.810003
3,Balanced,33,Peer,8.0,0.997611,,0.963810
3,Balanced,33,Instructor,12.0,0.917300,,0.999159
3,Balanced,33,CATME,5.0,0.961280,,0.938592
3,Balanced,33,Shapley (clean),0.0,0.984668,,0.939307
3,Balanced,33,Shapley (noisy),4.0,0.762891,,0.978760
3,Balanced,33,Shapley (noisy),8.0,0.000000,,0.810003
3,Balanced,33,Shapley (noisy),12.0,0.178464,,0.856664
3,Balanced,33,Shapley (noisy),16.0,-0.178464,,0.523331
3,Balanced,33,Shapley (noisy),20.0,0.762891,,0.856664
3,Balanced,34,Equal,,0.000000,,0.906400
3,Balanced,34,Peer,8.0,0.992015,,0.960642
3,Balanced,34,Instructor,12.0,0.794577,,0.959658
3,Balanced,34,CATME,5.0,0.967728,,0.982176
3,Balanced,34,Shapley (clean),0.0,0.999754,,0.945777
3,Balanced,34,Shapley (noisy),4.0,-0.750747,,0.760267
3,Balanced,34,Shapley (noisy),8.0,0.750747,,0.426933
3,Balanced,34,Shapley (noisy),12.0,0.196713,,0.426933
3,Balanced,34,Shapley (noisy),16.0,-0.750747,,0.760267
3,Balanced,34,Shapley (noisy),20.0,0.000000,,0.906400
3,Balanced,35,Equal,,0.000000,,0.923361
3,Balanced,35,Peer,8.0,0.427229,,0.971654
3,Balanced,35,Instructor,12.0,0.270093,,0.935080
3,Balanced,35,CATME,5.0,0.961702,,0.953522
3,Balanced,35,Shapley (clean),0.0,0.999675,,0.948295
3,Balanced,35,Shapley (noisy),4.0,0.114700,,0.409972
3,Balanced,35,Shapley (noisy),8.0,0.114700,,0.409972
3,Balanced,35,Shapley (noisy),12.0,-0.917660,,0.409972
3,Balanced,35,Shapley (noisy),16.0,0.000000,,0.923361
3,Balanced,35,Shapley (noisy),20.0,0.802960,,0.409972
3,Balanced,36,Equal,,0.000000,,0.804947
3,Balanced,36,Peer,8.0,0.979992,,0.937008
3,Balanced,36,Instructor,12.0,0.587551,,0.919221
3,Balanced,36,CATME,5.0,0.994140,,0.989231
3,Balanced,36,Shapley (clean),0.0,0.981859,,0.917089
3,Balanced,36,Shapley (noisy),4.0,0.000000,,0.804947
3,Balanced,36,Shapley (noisy),8.0,0.326719,,0.528386
3,Balanced,36,Shapley (noisy),12.0,-0.981859,,0.528386
3,Balanced,36,Shapley (noisy),16.0,0.981859,,0.861720
3,Balanced,36,Shapley (noisy),20.0,-0.326719,,0.861720
3,Balanced,37,Equal,,0.000000,,0.886575
3,Balanced,37,Peer,8.0,0.998739,,0.976648
3,Balanced,37,Instructor,12.0,0.685330,,0.998978
3,Balanced,37,CATME,5.0,0.996657,,0.988537
3,Balanced,37,Shapley (clean),0.0,0.997354,,0.942670
3,Balanced,37,Shapley (noisy),4.0,0.723524,,0.446759
3,Balanced,37,Shapley (noisy),8.0,-0.473090,,0.717148
3,Balanced,37,Shapley (noisy),12.0,0.000000,,0.886575
3,Balanced,37,Shapley (noisy),16.0,0.723524,,0.446759
3,Balanced,37,Shapley (noisy),20.0,-0.723524,,0.780092
3,Balanced,38,Equal,,0.000000,,0.896799
3,Balanced,38,Peer,8.0,0.998115,,0.964219
3,Balanced,38,Instructor,12.0,0.819587,,0.991406
3,Balanced,38,CATME,5.0,0.968310,,0.962962
3,Balanced,38,Shapley (clean),0.0,0.998090,,0.946958
3,Balanced,38,Shapley (noisy),4.0,-0.826230,,0.769868
3,Balanced,38,Shapley (noisy),8.0,0.000000,,0.896799
3,Balanced,38,Shapley (noisy),12.0,0.826230,,0.436534
3,Balanced,38,Shapley (noisy),16.0,0.900976,,0.769868
3,Balanced,38,Shapley (noisy),20.0,0.000000,,0.896799
3,Balanced,39,Equal,,0.000000,,0.806857
3,Balanced,39,Peer,8.0,0.989778,,0.929709
3,Balanced,39,Instructor,12.0,0.953649,,0.938538
3,Balanced,39,CATME,5.0,0.952763,,0.980659
3,Balanced,39,Shapley (clean),0.0,0.976568,,0.930817
3,Balanced,39,Shapley (noisy),4.0,0.024809,,0.526476
3,Balanced,39,Shapley (noisy),8.0,-0.853355,,0.859809
3,Balanced,39,Shapley (noisy),12.0,-0.878163,,0.526476
3,Balanced,39,Shapley (noisy),16.0,-0.878163,,0.526476
3,Balanced,39,Shapley (noisy),20.0,0.024809,,0.526476
3,Balanced,40,Equal,,0.000000,,0.768714
3,Balanced,40,Peer,8.0,0.794589,,0.959525
3,Balanced,40,Instructor,12.0,0.859768,,0.998198
3,Balanced,40,CATME,5.0,0.998210,,0.924516
3,Balanced,40,Shapley (clean),0.0,0.992657,,0.935065
3,Balanced,40,Shapley (noisy),4.0,0.986555,,0.564620
3,Balanced,40,Shapley (noisy),8.0,-0.634811,,0.564620
3,Balanced,40,Shapley (noisy),12.0,0.000000,,0.768714
3,Balanced,40,Shapley (noisy),16.0,0.351744,,0.897953
3,Balanced,40,Shapley (noisy),20.0,-0.634811,,0.564620
3,Balanced,41,Equal,,0.000000,,0.857919
3,Balanced,41,Peer,8.0,0.997737,,0.983870
3,Balanced,41,Instructor,12.0,0.989636,,0.946229
3,Balanced,41,CATME,5.0,0.992219,,0.991066
3,Balanced,41,Shapley (clean),0.0,0.989900,,0.940046
3,Balanced,41,Shapley (noisy),4.0,0.878045,,0.576004
3,Balanced,41,Shapley (noisy),8.0,0.928350,,0.808748
3,Balanced,41,Shapley (noisy),12.0,0.928350,,0.808748
3,Balanced,41,Shapley (noisy),16.0,0.928350,,0.808748
3,Balanced,41,Shapley (noisy),20.0,0.142267,,0.475415
3,Balanced,42,Equal,,0.000000,,0.854890
3,Balanced,42,Peer,8.0,0.999543,,0.979634
3,Balanced,42,Instructor,12.0,0.999950,,0.991625
3,Balanced,42,CATME,5.0,0.981534,,0.977365
3,Balanced,42,Shapley (clean),0.0,0.993402,,0.932835
3,Balanced,42,Shapley (noisy),4.0,0.000000,,0.854890
3,Balanced,42,Shapley (noisy),8.0,0.612989,,0.478443
3,Balanced,42,Shapley (noisy),12.0,0.000000,,0.854890
3,Balanced,42,Shapley (noisy),16.0,0.000000,,0.854890
3,Balanced,42,Shapley (noisy),20.0,-0.990734,,0.478443
3,Balanced,43,Equal,,0.000000,,0.827630
3,Balanced,43,Peer,8.0,0.991501,,0.942052
3,Balanced,43,Instructor,12.0,0.942464,,0.974923
3,Balanced,43,CATME,5.0,0.887143,,0.961994
3,Balanced,43,Shapley (clean),0.0,0.999389,,0.953618
3,Balanced,43,Shapley (noisy),4.0,-0.998154,,0.839037
3,Balanced,43,Shapley (noisy),8.0,-0.551671,,0.505703
3,Balanced,43,Shapley (noisy),12.0,-0.551671,,0.505703
3,Balanced,43,Shapley (noisy),16.0,0.446483,,0.839037
3,Balanced,43,Shapley (noisy),20.0,0.000000,,0.827630
3,Balanced,44,Equal,,0.000000,,0.899460
3,Balanced,44,Peer,8.0,0.939612,,0.994019
3,Balanced,44,Instructor,12.0,0.511835,,0.974785
3,Balanced,44,CATME,5.0,0.999626,,0.986801
3,Balanced,44,Shapley (clean),0.0,0.998557,,0.946941
3,Balanced,44,Shapley (noisy),4.0,-0.089658,,0.767206
3,Balanced,44,Shapley (noisy),8.0,0.157577,,0.481052
3,Balanced,44,Shapley (noisy),12.0,-0.817709,,0.767206
3,Balanced,44,Shapley (noisy),16.0,-0.089658,,0.767206
